repo_full_name,repo_url,description,stars,list_name
PowerShellMafia/PowerSploit,https://github.com/PowerShellMafia/PowerSploit,PowerSploit - A PowerShell Post-Exploitation Framework,12325,Active Directory
SpecterOps/BloodHound-Legacy,https://github.com/SpecterOps/BloodHound-Legacy,Six Degrees of Domain Admin,10170,Active Directory
samratashok/nishang,https://github.com/samratashok/nishang,"Nishang - Offensive PowerShell for red team, penetration testing and offensive security. ",9197,Active Directory
NH-RED-TEAM/RustHound,https://github.com/NH-RED-TEAM/RustHound,Active Directory data ingestor for BloodHound Legacy written in Rust. 🦀,1022,Active Directory
dirkjanm/adidnsdump,https://github.com/dirkjanm/adidnsdump,Active Directory Integrated DNS dumping by any authenticated user,1003,Active Directory
thephoton/activedirectory-delegation-searcher,https://github.com/thephoton/activedirectory-delegation-searcher,Searches for commonly delegated permissions in an active directory domain,11,Active Directory
Gerenios/AADInternals,https://github.com/Gerenios/AADInternals,AADInternals PowerShell module for administering Azure AD and Office 365,1423,Active Directory
jakehildreth/Locksmith,https://github.com/jakehildreth/Locksmith,A small tool built to find and fix common misconfigurations in Active Directory Certificate Services.,1108,Active Directory
Leo4j/ADQuery,https://github.com/Leo4j/ADQuery,"Query Active Directory Objects, GPOs, OUs, Groups",6,Active Directory
Leo4j/Invoke-SMBRemoting,https://github.com/Leo4j/Invoke-SMBRemoting,Interactive Shell and Command Execution over Named-Pipes (SMB) for Fileless lateral movement,164,Active Directory
Leo4j/Amnesiac,https://github.com/Leo4j/Amnesiac,Amnesiac is a post-exploitation framework entirely written in PowerShell and designed to assist with lateral movement within Active Directory environments,418,Active Directory
lkarlslund/Adalanche,https://github.com/lkarlslund/Adalanche,Attack Graph Visualizer and Explorer (Active Directory) ...Who's *really* Domain Admin?,1923,Active Directory
davidprowe/BadBlood,https://github.com/davidprowe/BadBlood,"BadBlood by @davidprowe, Secframe.com, fills a Microsoft Active Directory Domain with a structure and thousands of objects. The output of the tool is a domain similar to a domain in the real world.  After BadBlood is ran on a domain, security analysts and engineers can practice using tools to gain an understanding and prescribe to securing Active Directory. Each time this tool runs, it produces different results.  The domain, users, groups, computers and permissions are different. Every. Single. Time.",2126,Active Directory
ANSSI-FR/AD-permissions,https://github.com/ANSSI-FR/AD-permissions,Active Directory permissions (ACL/ACE) auditing tools,148,Active Directory
ANSSI-FR/ORADAD,https://github.com/ANSSI-FR/ORADAD,Outil de récupération automatique des données de l'Active Directory / Automated tool for dumping Active Directory data,248,Active Directory
microsoft/AzureADToolkit,https://github.com/microsoft/AzureADToolkit,PowerShell module to manage Azure Active Directory app credentials.,117,Active Directory
dirkjanm/BloodHound-AzureAD,https://github.com/dirkjanm/BloodHound-AzureAD,BloodHound with a twist of cloud,79,Active Directory
dirkjanm/adconnectdump,https://github.com/dirkjanm/adconnectdump,Dump Azure AD Connect credentials for Azure AD and Active Directory,671,Active Directory
dirkjanm/PKINITtools,https://github.com/dirkjanm/PKINITtools,Tools for Kerberos PKINIT and relaying to AD CS,748,Active Directory
dirkjanm/krbrelayx,https://github.com/dirkjanm/krbrelayx,Kerberos unconstrained delegation abuse toolkit,1295,Active Directory
dirkjanm/ROADtools,https://github.com/dirkjanm/ROADtools,A collection of Azure AD/Entra tools for offensive and defensive security purposes,2149,Active Directory
cube0x0/KrbRelay,https://github.com/cube0x0/KrbRelay,Framework for Kerberos relaying ,912,Active Directory
mandiant/ADFSDump,https://github.com/mandiant/ADFSDump,,350,Active Directory
ZeroDayLab/PowerSploit,https://github.com/ZeroDayLab/PowerSploit,PowerSploit - A PowerShell Post-Exploitation Framework,232,Active Directory
ly4k/Certipy,https://github.com/ly4k/Certipy,Tool for Active Directory Certificate Services enumeration and abuse,2786,Active Directory
SpecterOps/BloodHound,https://github.com/SpecterOps/BloodHound,Six Degrees of Domain Admin,1651,Active Directory
outflanknl/Spray-AD,https://github.com/outflanknl/Spray-AD,"A Cobalt Strike tool to audit Active Directory user accounts for weak, well known or easy guessable passwords.",438,Active Directory
