"full_name","description","html_url","language","stargazers_count","forks_count","created_at","updated_at"
"jwardsmith/STARCHIVE","Organise and export your GitHub starred repositories ÔÇö with list support, categorisation, and CSV output.","https://github.com/jwardsmith/STARCHIVE",,"1","0","2025-05-18T12:16:21Z","2025-05-18T12:47:09Z"
"maguowei/starred","creating your own Awesome List by GitHub stars!","https://github.com/maguowei/starred","Python","1712","96","2016-06-16T15:46:49Z","2025-05-18T08:22:03Z"
"hacksider/Deep-Live-Cam","real time face swap and one-click video deepfake with only a single image","https://github.com/hacksider/Deep-Live-Cam","Python","67819","9517","2023-09-24T13:19:31Z","2025-05-18T12:31:38Z"
"korosuke613/gh-user-stars","Displays an interactive and searchable list of your GitHub starred repositories","https://github.com/korosuke613/gh-user-stars","Shell","163","7","2021-08-25T12:48:13Z","2025-05-17T14:10:14Z"
"ZeroPointSecurity/BadWindowsService","An insecurely implemented and installed Windows service for emulating elevation of privileges vulnerabilities","https://github.com/ZeroPointSecurity/BadWindowsService","C#","8","1","2024-12-29T01:33:13Z","2025-05-16T12:22:33Z"
"eladshamir/BadWindowsService","An insecurely implemented and installed Windows service for emulating elevation of privileges vulnerabilities","https://github.com/eladshamir/BadWindowsService","C#","59","10","2022-08-19T15:38:05Z","2025-05-16T12:22:24Z"
"ZeroPointSecurity/PInvoke",,"https://github.com/ZeroPointSecurity/PInvoke",,"58","15","2024-01-12T18:59:57Z","2025-05-16T12:22:11Z"
"MHaggis/sysmon-splunk-app","Sysmon Splunk App","https://github.com/MHaggis/sysmon-splunk-app",,"47","16","2017-03-28T21:27:55Z","2025-05-15T23:23:06Z"
"badsectorlabs/ludus_adaptix_c2","An Ansible role that install the Adaptix C2 server and/or client on Debian based hosts","https://github.com/badsectorlabs/ludus_adaptix_c2","Jinja","112","10","2025-05-15T16:50:27Z","2025-05-18T12:34:40Z"
"hasherezade/process_ghosting","Process Ghosting - a PE injection technique, similar to Process Doppelg├ñnging, but using a delete-pending file instead of a transacted file","https://github.com/hasherezade/process_ghosting","C","660","118","2021-06-16T00:59:47Z","2025-05-15T21:58:57Z"
"IkerSaint/KingHamlet","Process Ghosting Tool","https://github.com/IkerSaint/KingHamlet","C++","174","25","2021-06-22T06:10:47Z","2025-05-15T21:58:38Z"
"astralapp/astral","Organize Your GitHub Stars With Ease","https://github.com/astralapp/astral","PHP","3332","150","2015-03-14T16:59:41Z","2025-05-17T13:50:20Z"
"anuraghazra/github-readme-stats",":zap: Dynamically generated stats for your github readmes","https://github.com/anuraghazra/github-readme-stats","JavaScript","73298","24748","2020-07-09T10:34:22Z","2025-05-18T11:44:51Z"
"lowlighter/metrics","­ƒôè An infographics generator with 30+ plugins and 300+ options to display stats about your GitHub account and render them as SVG, Markdown, PDF or JSON!","https://github.com/lowlighter/metrics","JavaScript","14757","1870","2020-09-08T16:01:43Z","2025-05-18T12:01:35Z"
"intezer/yara-rules",,"https://github.com/intezer/yara-rules","YARA","127","20","2019-05-09T09:01:44Z","2025-05-13T10:33:36Z"
"intezer/linux-explorer","Easy-to-use live forensics toolbox for Linux endpoints","https://github.com/intezer/linux-explorer","HTML","406","60","2017-11-26T12:51:38Z","2025-05-13T08:57:56Z"
"intezer/Malware-Reverse-Engineering-for-Beginners","This repository contains relevant samples and data related to ""Malware Reverse Engineering for Beginners"" articles.","https://github.com/intezer/Malware-Reverse-Engineering-for-Beginners","C","62","8","2022-01-03T15:36:19Z","2025-05-13T08:57:45Z"
"mkorman90/sysmon-config-bypass-finder","Detect possible sysmon logging bypasses given a specific configuration","https://github.com/mkorman90/sysmon-config-bypass-finder","Python","110","13","2018-12-26T19:04:10Z","2025-05-14T07:43:25Z"
"Kara-4search/PEB-PPIDspoofing_Csharp","Command line & PPID spoofing ","https://github.com/Kara-4search/PEB-PPIDspoofing_Csharp","C#","27","9","2021-05-31T11:22:11Z","2025-05-11T12:34:22Z"
"Kara-4search/WindowsEventLogsBypass_Csharp","Bypass windows eventlogs & Sysmon","https://github.com/Kara-4search/WindowsEventLogsBypass_Csharp","C#","17","2","2021-05-31T08:33:16Z","2025-05-11T12:34:19Z"
"Meckazin/ChromeKatz","Dump cookies and credentials directly from Chrome/Edge process memory","https://github.com/Meckazin/ChromeKatz","C++","1198","112","2023-12-07T22:27:06Z","2025-05-17T09:44:48Z"
"SumoLogic/cloud-siem-content-catalog",,"https://github.com/SumoLogic/cloud-siem-content-catalog",,"24","6","2024-01-18T20:29:46Z","2025-05-12T20:53:04Z"
"jwardsmith/velociraptor","Digging Deeper....","https://github.com/jwardsmith/velociraptor","Go","1","0","2025-05-11T07:24:49Z","2025-05-13T08:36:38Z"
